Loop,Sides,pi,A_error,R_error
0,6,3.4641016151377545870548926830117447338856105076208,0.32250896154796134859224929973224184968844110824566,0.10265779084358409902265299662593888279477296073328
1,12,3.2153903091734724776706439019295315966863369542754,0.07379765558367923920800051865002871248916755490031,0.023490523349471522770502662125056080885425231142216
2,24,3.1596599420975004833166349778332104862275384533577,0.018067288507707244853991594553707602030369053982615,0.0057509965485380023185462553664039057726954763760962
3,48,3.1460862151314349710980987942372541562653595873431,0.0044935615416417326354554109577512720681901879679733,0.0014303450628798388613689113792431595585032841452019
4,96,3.1427145996453682981688590937721238710009690915111,0.001121946055575059706215710492620986803799692136,0.00035712652125445013851200596803357885667868908432251
5,192,3.1418730499798238717454870936902294168838810234919,0.00028039639003063328284371041072653268671162411682001,0.00008925294299699665759028309143916221062573997589454
6,384,3.1416627470568485262244908138939158840179079895296,0.000070093467055287761847430614412999820738590154445612,0.000022311443520595928551352510534045653338766397757168
7,768,3.1416101766046895387634703606598010968490722729533,0.000017523014896300300826977380298212651902873578213139,0.0000055777488772382172531582117356944516166027142254874
8,1536,3.1415970343215261519932188948142568424075810860069,0.0000043807317329135305755115347539582104116866317572509,0.0000013944302193054259923675768580121302285567718632054
9,3072,3.1415937487713520279759811356316880758286385156724,0.0000010951815587895133377523521851916314691162972992687,0.00000034860711732887644268113440261615540278895340435849
10,6144,3.141592927385097033548008299052950505484542315785,0.00000027379530379508536491577344762128737291640988319421,0.000000087151751988670012614994054790595648760638948147379
11,12288,3.1415927220386138183428046714998230295066804336432,0.000000068448820579880161288220320145309511034268113654478,0.000000021787936288196362733659360142943588100472593248479
12,24576,3.1415926707019980478770182505008422657437956922751,0.000000017112204809414374867221339381546626292899996505048,0.000000005446983965238405004160572806712716985776994060426
13,49152,3.1415926578678444198440085293367598349850042294662,0.0000000042780511813813651460572569507878348300911113460317,0.0000000013617459846339335616648796196679645846217721774847
14,98304,3.1415926546593060324972203922498593993172189703642,0.0000000010695127940345770089703565151200495709891300123689,0.00000000034043649574125416241742411545719488716446865302332
15,196608,3.141592653857171436889364868302591484892000593168,0.0000000002673781984267214850230886006948311937929083024407,0.000000000085109123909236713894855638391060685809237681854894
16,393216,3.1415926536566377880642035815860405768244582807645,0.000000000066844549601560198306537692627288881389429958905576,0.000000000021277280975679376805001765604163413622886294786954
17,786432,3.1415926536065043758627134220468411588427423809706,0.00000000001671113740007003876733827464557298159549668812254,0.0000000000053193202438179815969658016266461549069849661807422
18,1572864,3.1415926535939710228126408922957569280307626677074,0.0000000000041777843499975090162540438335932683323023813231464,0.0000000000013298300609481289864738146273082047094094746671833
19,3145728,3.1415926535908376845501415104913426199247606496624,0.000000000001044446087498127211839735727591250287302843980152,0.00000000000033245751523663434582047883051947184365734176291787
20,6291456,3.1415926535900543499845178369548238322947218971935,0.00000000000026111152187445367532094809755249781836917996712742,0.000000000000083114378809133717655246318412561070346460858415699
21,12582912,3.141592653589858516343111991815355684598381626064,0.000000000000065277880468608535852800401212226688920057215086622,0.000000000000020778594702281875113819490062093111107658848533324
22,25165824,3.1415926535898095579327605351082799943817962987937,0.000000000000016319470117151828777110184626899418568421364395764,0.0000000000000051946486755703716347053265805396398581968497310861
23,50331648,3.1415926535897973183301726712176230312804922196458,0.0000000000000040798675292879381201470833228202706986082074664873,0.0000000000000012986621688925868371920349657002581513853605417483
24,100663296,3.1415926535897942584295257052628407867581211693772,0.0000000000000010199668823219833379025609517700021144881066249571,3.2466554222314632982990407905802302119265852478713e-16
25,201326592,3.1415926535897934934543639637752628564217727357441,2.5499172058049575997222460333636895486131349514674e-16,8.1166385555786558742302268809377567811722131075904e-17
26,402653184,3.1415926535897933022105735284034382319075601310444,6.374793014512393534771039073166933462444584806938e-17,2.0291596388946638206916087019787592253627347814091e-17
27,805306368,3.1415926535897932543996259195604863399902096690473,1.5936982536280983455793040269672240393046346325683e-17,5.0728990972366594304101241640274212835510836916748e-18
28,1610612736,3.1415926535897932424468890173497488830753330836702,3.9842456340702459988781636842950541433996104512958e-18,1.2682247743091649005520533040848165676904043672159e-18
29,3221225472,3.1415926535897932394587047917970660149553911425292,9.9606140851756313075822174315405208054905085828344e-19,3.1705619357729174431375017985766152379749813278157e-19
30,6442450944,3.1415926535897932387116587354088893843574967159018,2.4901535212938650016032731652664760971052961231979e-19,7.9264048394321572907046363565253881852740420579036e-20
31,12884901888,3.1415926535897932385248972213118169322800700564852,6.2253838032314048082900657110087769687658395110372e-20,1.9816012098570023659229037802942834026071377111812e-20
32,25769803776,3.1415926535897932384782068427876168388314706392311,1.556345950811395463430123985595569098999127203927e-20,4.9540030246537876491007161421845395985262311032826e-21
33,51539607552,3.14159265358979323846653424815589850464116132473,3.8908648763956204439919253548662810517457118880777e-21,1.2385007559619987029218030689689640441640862930257e-21
34,103079215104,3.1415926535897932384636160994985666094209204418171,9.7271621906372522375104244194637496000624647728654e-22,3.0962518897930156982491905806061653247823080008435e-22
35,206158430208,3.1415926535897932384628865623274211672208657640146,2.4317904791828302369636463952322404728154163714121e-22,7.7406295065151247109341312269358185813138968647063e-23
36,412316860416,3.141592653589793238462704178034667514992041296474,6.0794755164630794871897098862346061940566638960967e-23,1.9351571597025048425444604523326495643775437249331e-23
37,824633720832,3.1415926535897932384626585821015614351389501946865,1.5198822058550941780795311411131668950681232718797e-23,4.837935319585037316161704390050851984648011536383e-24
38,1649267441664,3.1415926535897932384626471832132342645301372411417,3.7999337313803329678417665765470470159187786249647e-24,1.2095564735416207819251605019017705148119425850027e-24
39,3298534883328,3.1415926535897932384626443349871868198430576983996,9.5170768393564588829902449932214311394025347287092e-25,3.0293796455379446837901698829361900726166214859267e-25
40,6597069766656,3.1415926535897932384626436332947008998157867027962,2.5001519801561861730342109744235135265711697892199e-25,7.9582309224569449431268065776685561892934937306618e-26
41,13194139533312,3.1415926535897932384626434648637392676053811648806,8.158423638340821176550546584443690035580716925962e-26,2.5969068997594141770344465093899168734254668075539e-26
42,26388279066624,3.1415926535897932384626434851885821675200119736866,1.0190907928332284257431146471409095510601050765337e-25,3.2438667427769393838302526727050955396188223355516e-26
43,52776558133248,3.1415926535897932384626434648637392676053811648806,8.158423638340821176550546584443690035580716925962e-26,2.5969068997594141770344465093899168734254668075539e-26
44,105553116266496,3.1415926535897932384626399306417325924214184750554,3.4526377702917757509243196726543938044610231722637e-24,1.0990087356954319403928703951503658485467497136973e-24
45,211106232532992,3.1415926535897932384626387254679398341405898333671,4.6578115630500565795660080521519041230894141004739e-24,1.4826274685000076372045544622077815115257994011196e-24
46,422212465065984,3.1415926535897932384626209730585348585622531489941,2.2410220968025634916250381009214239928829674461176e-23,7.133394885685839056292468416742965118413428854302e-24
47,844424930131968,3.1415926535897932384624870648023579632672672240194,1.563184771449209299021753557345617876594662116211e-22,4.9757716668423264564401611423316009394748930734518e-23
48,1688849860263936,3.1415926535897932384617110090650436333223174541214,9.3237421445925087485194525370921133939113055665293e-22,2.9678393008522538061948715634338652456178208276389e-22
